,title,genre,year,country,rate,description
23,Анора,"Драма, Комедия, Мелодрама",2024,США,6.8,"Марк Эйдельштейн, Майки Мэдисон и Юра Борисов в романтическом драмеди с 5 премиями «Оскар», включая приз за лучший фильм. Очаровательная Анора танцует в бруклинском стрип-клубе. Знания русского языка помогают ей познакомиться с Ваней – избалованным сыном олигарха из России. Встреча с мажором превращает жизнь девушки в сказку, и совсем скоро пара женится. Только вот родители парня готовы пойти на все, чтобы импульсивный брак распался."
24,Пара на пару,"Комедия, Мелодрама",2025,Россия,7.9,"Ромком о любовном многоугольнике. Стеснительный преподаватель литературы Костя пытается вернуть свою жену Олю, которая ушла к обеспеченному мужчине постарше Сергею. Чтобы получить возможность поговорить с возлюбленной, он идет на отчаянный шаг и сближается с дочерью Сергея Соней. Девушка не горит желанием вступать в отношения с преподавателем, но пользуется этой возможностью, планируя поиграть на нервах отца перед его новой пассией. Внезапно супруги встречаются под одной крышей, но в разных парах."
25,Мужу привет,Мелодрама,2025,Россия,8.8,"Трогательная и душевная картина Антона Маслова отмечена специальным призом на ММКФ-2025. Жизнерадостная и оптимистичная работница ЗАГСа Екатерина день за днем соединяет судьбы влюбленных, только вот ее личная жизнь давно остановилась. Уже несколько лет супруг героини находится в коме, но Екатерина преданно ждет, когда муж придет в себя. Однако случайная встреча с обаятельным Георгием стремительно преображает жизнь женщины, вынуждая ее сделать сложнейший выбор."
26,Рейс навылет,"Боевик, Комедия, Криминал",2025,США,8.3,"Бывший спецагент должен сразиться с армией киллеров на борту самолета, чтобы добраться до таинственной цели. Когда-то Лукас Рейес работал в секретной службе, а теперь с трудом выживает в Бангкоке, часто прикладываясь к бутылке. Неожиданно он получает от бывшего руководства задание сесть на рейс до Сан-Франциско и найти на борту крайне важного хакера по прозвищу Призрак, внешность которого неизвестна. Рейес берется за дело, но уже скоро осознает, что не только он, но и целая армия безжалостных киллеров преследует его цель."
27,Один хороший день,Комедия,2025,Россия,8.7,"Катя живет в поселке Жупа. Мама хочет поскорее выдать ее замуж, а сама девушка твердо намерена уехать в Москву и стать модельером. План побега уже готов, но внезапно Катя попадает во временную петлю. Удастся ли ей выбраться из бесконечного дня или она навеки останется в Жупе?"
28,Капитан Крюк,"Комедия, Драма, Спорт",2025,Россия,8.9,"Из-за проблем с тяжелым характером в прошлом звездный хоккеист Никита Крюков вынужден поставить карьеру в спорте на паузу. Он отправляется в родной город, где знакомится с маленькой дочерью мамы от второго брака Женькой. Девочка фанатеет от старшего брата и уговаривает его стать тренером детской хоккейной команды, за которую она выступает. По просьбе матери Никита все-таки соглашается заглянуть на занятия ребят и внезапно обретает мотивацию остаться и взяться за подготовку юных спортсменов. Однако истинная причина такого решения вряд ли обрадует его младшую сестру."
29,"Человек, который смеётся",Комедия,2026,Россия,8.4,"Ироничная комедия с Евгением Цыгановым и Сергеем Гармашем. Звезда боевиков Дмитрий получает роль киллера в криминальной драме состоятельного предпринимателя из Сибири Сергея. Во время съемок из ружья внезапно вылетает настоящая дробь и попадает брутальному актеру в пятую точку. Из-за повреждения нервных окончаний артиста начинает одолевать необычный побочный эффект. Теперь любая эмоция актера выражается неконтролируемым смехом. Покинуть проект нельзя, так что Дмитрию придется продолжить съемки и постараться не огорчить влиятельного бизнесмена."
30,Совсем ошалели,"Комедия, Мелодрама",2024,Россия,8.5,"Ольга готовится отметить Новый год в уютном шале на горнолыжном курорте с возлюбленным Кириллом. Но на месте узнает, что из-за ошибки турфирмы вынуждена жить в доме с бывшим мужем Федором и его новой девушкой Мариной. Ирония судьбы грозит полностью испортить праздничный отдых двум парам, если только они не смогут уладить разногласия в канун Нового года."
31,Наша Russia. 8 марта,Комедия,2025,Россия,7.8,"Встречайте проект «Наша Russia» в новом образе — полноценном музыкальном фильме. Михаил Галустян и Сергей Светлаков вернутся к своим легендарным персонажам, а также поздравят прекрасную половину человечества в качестве камео. Делать комплименты дорогим зрительницам будут телеведущий Жорик Вартанов, самый честный гаишник Николай Лаптев, харизматичный охранник Бородач и многие другие. А каждая сценка завершится музыкальным клипом со звездами российской эстрады."
32,Конец славы,Комедия,2024,Россия,8.4,"Крайне успешный актер Слава Агеев после скандала стремительно теряет все. Оставшись без денег, работы и семьи, невыносимый артист решается на авантюру. Слава инсценирует свою смерть и устраивает похороны в попытках перезапустить карьеру. Он договаривается с агентом Антоном, чтобы тот откопал его в нужный момент. Оказавшись в гробу под землей, Слава связывается с Антоном, но все идет под откос, когда его помощника сбивает машина."
33,Отец года,"Комедия, Драма",2024,США,8.1,"Мужчина в возрасте пытается стать образцовым папой. Арт-дилер и муж молодой жены Энди Гудрич внезапно выясняет, что его супруга на 90 дней уехала на реабилитационную программу. Теперь ему предстоит провести все это время со своими маленькими детьми. Сперва мужчина пробует оставить их своей старшей дочери, но, оказывается, она беременна. Энди осознает, что ему все-таки придется взять дело в свои руки и самостоятельно позаботиться о детях."
34,Достучаться до небес 2,Комедия,2023,Германия,8.7,"Эмоциональная история о том, что никогда не поздно воплотить свои мечты в жизнь. Феликс заболевает смертельной болезнью. Его лучший друг Артур неловко пытается рассказать ему о страшной новости, из-за чего происходит недоразумение. В итоге Феликс думает, что это Артур столкнулся с ужасным недугом. Вместе они решают исполнить самые яркие мечты, пока смертельная болезнь не разлучила их."
